name,category,description,contact,link
Навчання,Освіта,Інформація про навчальні програми Hebron IT Academy,Адміністрація академії,https://hebron-academy.com
Програмування,Освіта,Навчання програмуванню та сучасним IT-технологіям,Викладачі академії,https://hebron-academy.com
Англійська мова,Розвиток,Навчання англійської мови,Викладач англійської,https://hebron-academy.com
Психологічна підтримка,Підтримка,Психологічна підтримка студентів,Наставник або відповідальний працівник,https://hebron-academy.com
Проживання,Побут,Забезпечення студентів житлом,Адміністрація академії,https://hebron-academy.com
Харчування,Побут,Забезпечення студентів харчуванням,Адміністрація академії,https://hebron-academy.com
Спорт,Фізичний розвиток,"Футбол, бразильське джиу-джитсу та інші активності",Відповідальний за спортивні активності,https://hebron-academy.com
Практика,Кар'єра,Можливість отримати практичний досвід,Кар'єрний координатор,https://hebron-academy.com
Працевлаштування,Кар'єра,Підтримка студентів у професійному розвитку,Кар'єрний координатор,https://hebron-academy.com
Офіційний сайт,Інтернет,Офіційний вебсайт Hebron IT Academy,Hebron IT Academy,https://hebron-academy.com
